"","name","E1","E2","pvals","strain","pvals_corrected","pvals_corrected_overall"
"753","log","Zn","Cu",0.0944439540935578,"znbm_9",0.136943733435659,0.16565904246097
"754","log","Zn","Mn",0.0730242047436954,"znbm_11",0.302528848223881,0.134223921191913
"755","log","Zn","Mn",0.157352017209809,"znbm_12",0.48371022487614,0.253210142636474
"756","log","Zn","Mn",6.81466782759035e-05,"znbm_15",0.000658751223333734,0.000256696007855421
"757","log","Zn","Mn",0.714416748952808,"znbm_16",0.825646594721732,0.821174610388943
"758","log","Zn","Mn",0.842045373113607,"znbm_17",0.872118422153378,0.894812349433372
"759","log","Zn","Mn",0.0392812476758754,"znbm_19",0.189859363766731,0.0778213397352249
"760","log","Zn","Mn",0.699254793961024,"znbm_22",0.825646594721732,0.813537433417258
"761","log","Zn","Mn",1.50168986111178e-21,"znbm_23",4.35490059722416e-20,1.14674498484899e-19
"762","log","Zn","Mn",0.159800794828206,"znbm_25",0.48371022487614,0.254710944318204
"763","log","Zn","Mn",0.424195690153605,"znbm_28",0.723627942026738,0.57103265982216
"764","log","Zn","Mn",0.304551247588117,"znbm_29",0.662858888067324,0.439526845150376
"765","log","Zn","Mn",0.972260696845028,"znbm_31",0.972260696845028,0.981415927346893
"766","log","Zn","Mn",0.740234878026381,"znbm_32",0.825646594721732,0.833107575030206
"767","log","Zn","Mn",0.365715248588868,"znbm_34",0.662858888067324,0.509208835102575
"768","log","Zn","Mn",0.29957408174074,"znbm_37",0.662858888067324,0.433119154323962
"769","log","Zn","Mn",0.166796629267634,"znbm_38",0.48371022487614,0.265358273834873
"770","log","Zn","Mn",0.824639477763525,"znbm_39",0.872118422153378,0.886936186070885
"771","log","Zn","Mn",0.712423311869893,"znbm_41",0.825646594721732,0.821174610388943
"772","log","Zn","Mn",0.00203868642255914,"znbm_42",0.0147804765635538,0.00574663286895865
"773","log","Zn","Mn",0.733662721842813,"znbm_43",0.825646594721732,0.827217028654983
"774","log","Zn","Mn",0.0267567066379511,"znbm_44",0.155188898500116,0.0554732487666233
"775","log","Zn","Mn",0.344896205973832,"znbm_45",0.662858888067324,0.487732008447843
"776","log","Zn","Mn",0.70767844540096,"znbm_46",0.825646594721732,0.819930888464561
"777","log","Zn","Mn",0.571438725761819,"znbm_47",0.825646594721732,0.707977182359775
"778","log","Zn","Mn",0.520204737213746,"znbm_5",0.793996704168349,0.663384346402927
"779","log","Zn","Mn",0.452270406086961,"znbm_6",0.728657876473437,0.597684660077249
"780","log","Zn","Mn",0.263567382436198,"znbm_7",0.662858888067324,0.393944130331684
"781","log","Zn","Mn",7.87286363209161e-07,"znbm_8",1.14156522665328e-05,4.32235650389343e-06
"782","log","Zn","Mn",0.323857618994055,"znbm_9",0.662858888067324,0.464232764428339
"783","log","Zn","Ni",0.0352024354371556,"znbm_11",0.102087062767751,0.0704048708743111
"784","log","Zn","Ni",0.717887092001928,"znbm_12",0.866173392404443,0.821174610388943
"785","log","Zn","Ni",0.0267010819581274,"znbm_15",0.0905330342361542,0.0554732487666233
"786","log","Zn","Ni",0.454621457577382,"znbm_16",0.693895908933899,0.599500823178965
"787","log","Zn","Ni",0.548480407810167,"znbm_17",0.773434847289741,0.689705902036737
"788","log","Zn","Ni",0.000273503509842063,"znbm_19",0.00198290044635496,0.000930133393794871
"789","log","Zn","Ni",0.560073510106364,"znbm_22",0.773434847289741,0.699051632227854
"790","log","Zn","Ni",2.03418453484174e-32,"znbm_23",5.89913515104104e-31,1.70871500926706e-29
"791","log","Zn","Ni",0.71631701387169,"znbm_25",0.866173392404443,0.821174610388943
"792","log","Zn","Ni",0.839275776657338,"znbm_28",0.911390677200253,0.894812349433372
"793","log","Zn","Ni",0.0922320482567816,"znbm_29",0.205748415342051,0.162762438100203
"794","log","Zn","Ni",0.0906862784493837,"znbm_31",0.205748415342051,0.1603715239947
"795","log","Zn","Ni",0.112819396717833,"znbm_32",0.233697321772653,0.192618482201178
"796","log","Zn","Ni",0.0280964589008754,"znbm_34",0.0905330342361542,0.057585871051147
"797","log","Zn","Ni",0.87996341246921,"znbm_37",0.911390677200253,0.917953452822789
"798","log","Zn","Ni",1.29870387678318e-05,"znbm_38",0.000125541374755707,5.59441669998906e-05
"799","log","Zn","Ni",0.143769851625487,"znbm_39",0.277955046475941,0.235872412823064
"800","log","Zn","Ni",0.0167674650370824,"znbm_41",0.0810427476792316,0.0368708655265686
"801","log","Zn","Ni",5.61703593393759e-17,"znbm_42",8.1447021042095e-16,1.68511078018128e-15
"802","log","Zn","Ni",0.849721388756415,"znbm_43",0.911390677200253,0.89894958004457
"803","log","Zn","Ni",0.0238923992007674,"znbm_44",0.0905330342361542,0.0499244162404094
"804","log","Zn","Ni",0.971877477318272,"znbm_45",0.971877477318272,0.981415927346893
"805","log","Zn","Ni",0.431781225000556,"znbm_46",0.693895908933899,0.577742174546315
"806","log","Zn","Ni",0.252124728709778,"znbm_47",0.456976070786473,0.379542602358806
"807","log","Zn","Ni",0.746701200348658,"znbm_5",0.866173392404443,0.835191755383319
"808","log","Zn","Ni",0.430757098499113,"znbm_6",0.693895908933899,0.577742174546315
"809","log","Zn","Ni",0.00656668503831029,"znbm_7",0.0380867732221997,0.0160816776448415
"810","log","Zn","Ni",0.695731527171202,"znbm_8",0.866173392404443,0.811435976502029
"811","log","Zn","Ni",0.0818392529755846,"znbm_9",0.205748415342051,0.147205508564221
"812","log","Zn","Zn",0.0208321299593474,"znbm_11",0.024165270752843,0.0446402784843158
"813","log","Zn","Zn",1.49938868763679e-10,"znbm_12",5.43528399268335e-10,1.57435812201862e-09
"814","log","Zn","Zn",2.02491153939311e-13,"znbm_15",1.174448692848e-12,3.20929376054757e-12
"815","log","Zn","Zn",0.00834042811523261,"znbm_16",0.0100780173059061,0.019903294365896
"816","log","Zn","Zn",0.133885441474187,"znbm_17",0.143802881583386,0.22182203321167
"817","log","Zn","Zn",1.98660859945089e-19,"znbm_19",2.88058246920379e-18,1.1125008156925e-17
"818","log","Zn","Zn",0.0438268990847874,"znbm_22",0.048883848979186,0.0852189704426422
