X1,strain,conc,day,Mean,SD,avg_ypad_day,batch,r_anc,rel_fit
632,CBM18,YPAD,20210721BIO2,0.266666105025856,0.0142319399211209,0.253251431934701,0.27002667576872,0.272252223050353,-0.00222554728163243
633,CBM2,MN1,20210721BIO2,0.0811920561431349,0.00731678482662541,0.253251431934701,0.0845526268859993,0.0419090194436755,0.0426436074423237
634,CBM53,MN1,20210721BIO2,0.180640337301326,0.0102848482703328,0.253251431934701,0.184000908044191,0.0419090194436755,0.142091888600515
635,CBM45,YPAD,20210721BIO2,0.272131304935942,0.0153521608568939,0.253251431934701,0.275491875678807,0.272252223050353,0.00323965262845421
636,CBM17,MN1,20210721BIO2,0.107706116447837,0.0110969510909951,0.253251431934701,0.111066687190701,0.0419090194436755,0.0691576677470254
637,CBM25,MN2,20210721BIO2,0.0839944208510153,0.00176325073008005,0.253251431934701,0.0873549915938797,0.0151554721883329,0.0721995194055468
638,CBM1,MN2,20210721BIO2,0.0732292923707097,0.00353702730085418,0.253251431934701,0.0765898631135741,0.0151554721883329,0.0614343909252412
639,CBM18,MN2,20210721BIO2,0.0434490764959309,0.0024593803549886,0.253251431934701,0.0468096472387953,0.0151554721883329,0.0316541750504624
640,CBM22,MN1,20210721BIO2,0.176285283386609,0.0063431410025577804,0.253251431934701,0.179645854129473,0.0419090194436755,0.137736834685798
641,CBM54,MN2,20210721BIO2,0.0807994363620039,0.00273321551468147,0.253251431934701,0.0841600071048682,0.0151554721883329,0.0690045349165353
642,CBM3,YPAD,20210721BIO2,0.253527163791646,0.0118774832233511,0.253251431934701,0.256887734534511,0.272252223050353,-0.0153644885158419
643,CBM47,MN1,20210721BIO2,0.105706847717639,0.0096310353668347,0.253251431934701,0.109067418460503,0.0419090194436755,0.0671583990168274
644,CBM55,YPAD,20210721BIO2,0.270653023057684,0.0127263412739724,0.253251431934701,0.274013593800549,0.272252223050353,0.0017613707501961699
645,CBM6,YPAD,20210721BIO2,0.229058782060175,0.0649744342416134,0.253251431934701,0.232419352803039,0.272252223050353,-0.0398328702473135
646,CBM4,YPAD,20210721BIO2,0.268341123378051,0.0127464396947102,0.253251431934701,0.271701694120916,0.272252223050353,-5.50528929437077e-4
647,CBM26,MN2,20210721BIO2,0.0829198090579464,0.0111678698580638,0.253251431934701,0.0862803798008108,0.0151554721883329,0.0711249076124779
648,CBM7,MN2,20210721BIO2,0.023020436693925,0.0070781433050352,0.253251431934701,0.0263810074367894,0.0151554721883329,0.0112255352484565
649,CBM51,MN1,20210721BIO2,0.128922929705973,0.00711953305224098,0.253251431934701,0.132283500448838,0.0419090194436755,0.090374481005162
650,CBM54,YPAD,20210721BIO2,0.275833763373796,0.0131500890246009,0.253251431934701,0.27919433411666,0.272252223050353,0.0069421110663076
651,CBM25,YPAD,20210723BIO1,0.272254823112582,0.0116633565832313,0.25662567848762,0.272241147302527,0.272252223050353,-1.10757478260504e-5
652,CBM20,YPAD,20210723BIO1,0.272821448368028,0.0108985034057265,0.25662567848762,0.272807772557973,0.272252223050353,5.55549507620046e-4
653,CBM3,FE2,20210723BIO1,0.0217463355267622,0.0178147596615251,0.25662567848762,0.0217326597167072,0.0112329267258164,0.0104997329908908
654,CBM49,FE2,20210723BIO1,0.00420480310570071,0.00207844427598957,0.25662567848762,0.00419112729564569,0.0112329267258164,-0.00704179943017067
655,CBM54,YPAD,20210723BIO1,0.275833763373796,0.0131500890246009,0.25662567848762,0.275820087563741,0.272252223050353,0.0035678645133882
656,CBM16,YPAD,20210723BIO1,0.246050921758255,0.0143178464025848,0.25662567848762,0.2460372459482,0.272252223050353,-0.026214977102153
657,CBM22,FE2,20210723BIO1,0.00536667067082182,0.00259858904965916,0.25662567848762,0.00535299486076681,0.0112329267258164,-0.00587993186504956
658,CBM13,FE2,20210723BIO1,0.0135166582926338,0.0102890154310976,0.25662567848762,0.0135029824825788,0.0112329267258164,0.00227005575676244
659,CBM54,FE2,20210723BIO1,0.0035947845256068,0.0010885422953119,0.25662567848762,0.00358110871555178,0.0112329267258164,-0.00765181801026458
660,CBM4,FE1,20210723BIO1,0.0479592030144804,0.0169748672996016,0.25662567848762,0.0479455272044254,0.0660707838958293,-0.0181252566914039
661,CBM47,FE1,20210723BIO1,0.0615272873020582,0.0260287516109132,0.25662567848762,0.0615136114920032,0.0660707838958293,-0.00455717240382612
662,CBM16,FE1,20210723BIO1,0.0509377051260973,0.0450659924279998,0.25662567848762,0.0509240293160423,0.0660707838958293,-0.015146754579787
663,CBM6,YPAD,20210723BIO1,0.229058782060175,0.0649744342416134,0.25662567848762,0.22904510625012,0.272252223050353,-0.0432071168002329
664,CBM30,FE1,20210723BIO1,0.0832196144181137,0.0202365266761092,0.25662567848762,0.0832059386080587,0.0660707838958293,0.0171351547122294
665,CBM1,FE2,20210723BIO1,0.00325988818901853,0.00157373869462312,0.25662567848762,0.00324621237896352,0.0112329267258164,-0.00798671434685285
666,CBM37,FE1,20210723BIO1,0.0905418553280117,0.0248214485847854,0.25662567848762,0.0905281795179566,0.0660707838958293,0.0244573956221274
667,CBM29,FE2,20210723BIO1,0.00688222745644692,7.40320645689136e-4,0.25662567848762,0.0068685516463919,0.0112329267258164,-0.00436437507942446
